ID,Title,Author,Year,Format,File
1,Just a Friend to You,Ega Dyp,2020,PDF,ebook/Ega Dyp - Just a Friend to You.pdf
2,Dead Space - Extraction,Antony Johnston & Ben Templesmith,2009,PDF,ebook/Dead Space - Extraction (2009) (c2c) (Legion-CPS)_copy.pdf
3,The Sum of All Fears,Tom Clancy,1991,PDF,ebook/Tom Clancy - The Sum of All Fears_copy.pdf
4,Ubur-Ubur Lembur,Raditya Dika,2018,PDF,ebook/Ubur- ubur lembur Raditya Dika.pdf
5,Dead Space - Salvage,Antony Johnston,2008,PDF,ebook/Dead_Space_Salvage_(2010)_copy.pdf
6,Gold Oil and Avocados A Recent History of Latin America in Sixteen Commodities, Andy Robinson,2021,PDF,ebook/Gold Oil and Avocados A Recent History of Latin America in Sixteen Commodities Andy Robinson z-liborg.pdf
7,Negeri 5 Menara, A. Fuadi,2009,PDF,ebook/Negeri 5 Menara.pdf
8,Negeri Para Bedebah,Tere Liye,2012,PDF,ebook/Negeri_Para_Bedebah.pdf
9,Œuvres Complètes de Gustave Flaubert,Gustave Flaubert,1885,PDF,oeuvrescomplt01flauuoft.pdf
10,Beyond the Bookshelf: Virtual Reality as A Tool For Library Design and Interactive Tours,Tengku Siti Meriam bt Tengku Wook,2025,PDF,ppt/Slide 31.08.25-beyond the bookshelf virtual reality.pdf
11,Yang Fana Adalah Waktu,Sapardi Djoko Damono,2018,PDF,ebook/Yang fana adalah waktu.pdf
